State,County,Uninsured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Income inequality,Children in single-parent households,Social associations,Violent crime,Injury deaths,Air pollution - particulate matter,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alone,2011 population estimate,Population that is not proficient in English,Population living in a rural area,Diabetes,HIV prevalence rate,Premature age-adjusted mortality,Infant mortality,Child mortality,Food insecurity,Limited access to healthy foods,Motor vehicle crash deaths,Drug poisoning deaths,Uninsured adults,Uninsured children,Health care costs,Could not see doctor due to cost,Other primary care providers,Median household income,Children eligible for free lunch,Homicide rate,Inadequate social support
CO,Adams County,0.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.792,0.301,4.722,415.7,62.9,13.48,0.038,0.19,0.771,0.445,469193,0.074,0.036,0.07,178.8,335,6.7,44.4,0.138,0.045,9.55,17.56,0.265,0.122,9772,0.172,123,54876,0.459,4.4,
CO,Alamosa County,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.287,,338.67,85.1,12.45,0,0.201,0.762,0.139,16148,0.018,0.369,0.065,78,365.9,,64.2,0.152,0.027,20.59,13.1,0.238,0.111,7295,0.196,149,37731,0.561,,0.178
CO,Alamosa County,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.798,0.353,13.005,365.87,84.7,12.45,0.004,0.186,0.764,0.149,16253,0.024,0.369,0.071,78,400.5,,,0.151,0.027,23.09,15.7,0.22,0.108,7237,0.196,154,37484,0.578,,
CO,Arapahoe County,0.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.299,,342.01,58,13.39,0.036,0.175,0.783,0.38,595546,0.049,0.016,0.06,222.3,273.6,6.1,55.7,0.15,0.035,8.65,15.11,0.203,0.117,9264,0.131,78,60525,0.319,4.13,0.182
CO,Arapahoe County,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.382,0.309,7.657,322.72,59.1,13.39,0,0.178,0.781,0.387,607070,0.045,0.016,0.061,222.3,258.8,6.7,46.3,0.149,0.035,7.08,15.53,0.207,0.102,9543,0.131,84,61092,0.313,3.7,
CO,Archuleta County,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269,,245.12,74.1,11.46,0,0.159,0.725,0.161,12070,0.004,0.594,0.065,,257.8,,,0.123,0.077,22.76,,0.227,0.129,7793,0.194,41,46127,0.402,,0.132
CO,Archuleta County,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.074,0.332,14.913,216.57,72.6,11.46,0,0.153,0.696,0.148,12194,0.002,0.594,0.063,,217.7,,,0.13,0.077,20.05,,0.236,0.134,6665,0.194,57,44417,0.399,,
CO,Baca County,0.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211,,262.81,172.2,12.97,0.01,0.122,0.678,0.116,3751,0.005,1,0.077,,516,,,0.119,0.083,55.1,,0.25,0.135,8647,0.12,53,37775,0.396,,
CO,Baca County,0.213,,,0.1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.654,0.244,13.33,121.85,153.4,12.97,0.026,0.128,0.662,0.112,3682,0.005,1,0.083,,484.9,,,0.126,0.083,63.66,,0.243,0.14,9422,0.12,81,35787,0.383,,
CO,Bent County,0.174,,,0.1573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.379,,111.83,,13.57,0,0.168,0.744,0.214,5773,0.037,0.38,0.064,,478.7,,,0.159,0.127,,,0.208,0.094,8665,,69,33540,0.592,,
CO,Bent County,0.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.667,0.336,12.125,162.19,64.7,13.57,0,0.19,0.78,0.213,5688,0.038,0.38,0.07,,428.3,,,0.165,0.127,,,0.206,0.089,8894,,70,34440,0.601,,
CO,Boulder County,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236,,215.63,63.5,13.44,0.017,0.203,0.655,0.26,305318,0.031,0.089,0.047,182.1,221.1,4.7,42,0.133,0.028,8.46,13.43,0.168,0.093,8524,0.112,70,66894,0.218,1.29,0.138
CO,Boulder County,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.177,0.238,9.433,192.79,63.4,13.44,0.058,0.202,0.645,0.269,310048,0.028,0.089,0.047,182.1,207.5,5.1,36.8,0.137,0.028,7.45,13.43,0.154,0.083,8514,0.112,78,71405,0.172,1.2,
CO,Broomfield County,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231,,70.7,50.4,,0,0.139,0.77,0.382,58298,0.02,0.006,0.055,64.8,252.4,,40.4,0.116,0.013,7.32,10.41,0.132,0.062,8425,0.101,38,81040,0.155,2.81,0.162
CO,Broomfield County,0.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.041,0.21,6.518,61.44,49.7,,0,0.15,0.773,0.386,59471,0.021,0.006,0.059,64.8,244.4,5.4,43.5,0.12,0.013,6.06,10.53,0.122,0.054,9093,0.101,39,79117,,3.5,
CO,Chaffee County,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,86.74,104.9,12.07,0.004,0.143,0.715,0.161,18150,0.013,0.374,0.06,65.6,289.2,,,0.125,0.019,21.34,16.41,0.216,0.129,7785,0.197,55,44651,0.269,,0.144
CO,Chaffee County,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.668,0.321,22.59,75.77,82.9,12.07,0.007,0.138,0.716,0.163,18510,0.012,0.374,0.07,65.6,280.3,,,0.13,0.019,19.39,13.73,0.208,0.116,7733,0.197,65,48012,0.32,,
CO,Cheyenne County,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141,,0,,13.63,0,0.066,0.733,0.162,1874,0.013,1,0.075,,376.8,,,0.088,0.116,,,0.24,0.202,8976,,53,51093,0.248,,
CO,Cheyenne County,0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.463,0.113,16.009,35.68,150.4,13.63,0,0.08,0.7,0.134,1890,0.013,1,0.071,,421.1,,,0.104,0.116,84.07,,0.263,0.174,9385,,106,50379,0.273,,
CO,Clear Creek County,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175,,369.17,90.3,12.99,0.008,0.199,0.731,0.489,9026,0.004,1,0.055,211.6,331.7,,,0.109,0.024,20.4,,0.141,0.101,9557,0.165,22,65359,0.185,,0.169
CO,Clear Creek County,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.434,0.167,6.647,319.09,68.5,12.99,0.009,0.165,0.706,0.52,9031,0.005,1,0.067,211.6,262.4,,,0.126,0.024,18.91,,0.135,0.088,7138,0.165,22,63489,0.192,,
CO,Conejos County,0.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,95,11.88,0.211,0.188,0.683,0.393,8275,0.019,1,0.061,,382.6,,,0.131,0.022,22.51,20.78,0.263,0.144,8470,0.235,60,31970,0.549,,
CO,Conejos County,0.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08,0.25,3.625,35.69,114.2,11.88,0.216,0.17,0.736,0.404,8277,0.024,1,0.069,,422.7,,,0.127,0.022,22.56,27.76,0.244,0.117,8326,0.235,60,34923,0.51,,
CO,Costilla County,0.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.443,,,164.1,12.29,0.158,0.213,0.713,0.323,3594,0.068,1,0.078,,356,,,0.164,0.553,52.22,,0.328,0.174,6282,0.238,28,26075,0.695,,
CO,Costilla County,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.984,0.423,5.565,161.59,163,12.29,0.023,0.245,0.725,0.302,3518,0.061,1,0.082,,400.7,,,0.147,0.553,56.15,,0.322,0.154,7689,0.238,28,28233,0.756,,
CO,Crowley County,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266,,43.98,,13.43,0.031,0.142,0.728,0.276,5365,0.045,1,0.063,,288,,,0.155,0.3,34.26,,0.212,0.102,9761,,75,30460,0.604,,
CO,Crowley County,0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.409,0.377,7.456,102.49,62.8,13.43,0.074,0.148,0.772,0.341,5322,0.042,1,0.066,,259.9,,,0.162,0.3,27.11,,0.213,0.094,7676,,56,31477,0.61,,
